	sampleid	data.cluster
HC1101	HC1101	1
HC1103	HC1103	1
HC1104	HC1104	1
HC1105	HC1105	2
HC1106	HC1106	2
HC1107	HC1107	1
HC1108	HC1108	1
HC1109	HC1109	1
HC1110	HC1110	1
HC1112	HC1112	1
HC1113	HC1113	2
HC1114	HC1114	3
HC1115	HC1115	1
HC1116	HC1116	1
HC1117	HC1117	1
HC1118	HC1118	3
HC1119	HC1119	3
HC1120	HC1120	2
HC1121	HC1121	1
HC1122	HC1122	1
HC1123	HC1123	1
HC1124	HC1124	3
HC1125	HC1125	3
HC1126	HC1126	3
HC1127	HC1127	3
HC1128	HC1128	1
HC1129	HC1129	2
HC1130	HC1130	1
HC1131	HC1131	1
HC1132	HC1132	1
HC1133	HC1133	2
HC1134	HC1134	1
HC1135	HC1135	1
HC1136	HC1136	2
HC1137	HC1137	2
HC1138	HC1138	1
HC1139	HC1139	1
HC1140	HC1140	3
HC1141	HC1141	3
HC1142	HC1142	1
HC1144	HC1144	2
HC1145	HC1145	2
HC1146	HC1146	3
HC1147	HC1147	1
HC1148	HC1148	2
HC1149	HC1149	3
HC1150	HC1150	1
HC1151	HC1151	1
HC1152	HC1152	1
HC1153	HC1153	3
HC1154	HC1154	1
HC1155	HC1155	2
HC1156	HC1156	3
HC1157	HC1157	1
HC1159	HC1159	2
HC1160	HC1160	1
HC1161	HC1161	1
HC1162	HC1162	1
HC1163	HC1163	1
HC1164	HC1164	1
HC1165	HC1165	1
HC1166	HC1166	3
HC1167	HC1167	2
HC1168	HC1168	1
HC1169	HC1169	3
HC1170	HC1170	2
HC1171	HC1171	1
HC1172	HC1172	2
HC1173	HC1173	3
HC1174	HC1174	3
HC1175	HC1175	2
HC1176	HC1176	3
HC1177	HC1177	1
HC1178	HC1178	1
HC1179	HC1179	1
HC1180	HC1180	3
HC1182	HC1182	1
HC1183	HC1183	1
HC1185	HC1185	1
HC1186	HC1186	1
HC1187	HC1187	2
HC1188	HC1188	1
HC1189	HC1189	1
HC1190	HC1190	1
HC1191	HC1191	1
HC1193	HC1193	1
HC1194	HC1194	2
HC1195	HC1195	3
HC1196	HC1196	2
HC1197	HC1197	3
HC1198	HC1198	1
HC1199	HC1199	1
HC1200	HC1200	1
HC1201	HC1201	1
HC1202	HC1202	1
HC1203	HC1203	2
HC1204	HC1204	2
HC1205	HC1205	1
HC1206	HC1206	1
HC1207	HC1207	3
HC1209	HC1209	2
HC1210	HC1210	3
HC1211	HC1211	3
HC1212	HC1212	1
HC1213	HC1213	1
HC1214	HC1214	1
HC1215	HC1215	1
HC1216	HC1216	1
HC1217	HC1217	1
HC1218	HC1218	2
HC1219	HC1219	1
HC1220	HC1220	1
HC1221	HC1221	1
HC1224	HC1224	2
HC1225	HC1225	2
HC1226	HC1226	1
HC1227	HC1227	3
HC1228	HC1228	1
HC1229	HC1229	1
HC1230	HC1230	1
HC1231	HC1231	1
HC1232	HC1232	1
HC1233	HC1233	1
HC1234	HC1234	3
HC1235	HC1235	1
HC1236	HC1236	1
HC1237	HC1237	1
HC1238	HC1238	1
HC1239	HC1239	2
HC1240	HC1240	1
HC1241	HC1241	1
HC1242	HC1242	1
HC1243	HC1243	1
HC1244	HC1244	1
HC1245	HC1245	3
HC1246	HC1246	2
HC1247	HC1247	1
HC1249	HC1249	1
HC1250	HC1250	3
HC1251	HC1251	1
HC1252	HC1252	2
HC1253	HC1253	1
HC1254	HC1254	3
HC1255	HC1255	1
HC1256	HC1256	2
HC1257	HC1257	3
HC1258	HC1258	1
HC1259	HC1259	1
HC1260	HC1260	1
HC1261	HC1261	1
HC1262	HC1262	1
HC1263	HC1263	1
HC1264	HC1264	1
HC1265	HC1265	1
HC1266	HC1266	1
HC1267	HC1267	1
HC1268	HC1268	2
HC1269	HC1269	2
HC1270	HC1270	1
HC1271	HC1271	1
HC1272	HC1272	1
HC1273	HC1273	2
HC1274	HC1274	2
HC1275	HC1275	3
HC1276	HC1276	1
HC1277	HC1277	2
HC1278	HC1278	1
HC1279	HC1279	3
HC1280	HC1280	3
HC1281	HC1281	1
HC1282	HC1282	3
HC1283	HC1283	3
HC1284	HC1284	1
HC1285	HC1285	2
HC1286	HC1286	1
HC1287	HC1287	1
HC1288	HC1288	2
HC1289	HC1289	2
HC1290	HC1290	1
HC1291	HC1291	1
HC1292	HC1292	1
HC1293	HC1293	1
HC1294	HC1294	3
HC1295	HC1295	1
HC1296	HC1296	1
HC1297	HC1297	2
HC1298	HC1298	1
HC1299	HC1299	1
HC1300	HC1300	1
HC1301	HC1301	1
HC1302	HC1302	1
HC1303	HC1303	2
HC1304	HC1304	2
HC1306	HC1306	2
HC1307	HC1307	2
HC1308	HC1308	1
HC1309	HC1309	2
HC1310	HC1310	3
HC1311	HC1311	1
HC1312	HC1312	1
HC1313	HC1313	2
HC1314	HC1314	2
HC1315	HC1315	3
HC1316	HC1316	1
HC1317	HC1317	1
HC1318	HC1318	2
HC1319	HC1319	2
HC1320	HC1320	1
HC1322	HC1322	1
HC1324	HC1324	1
HC1325	HC1325	2
HC1326	HC1326	1
HC1327	HC1327	1
HC1328	HC1328	1
HC1329	HC1329	3
HC1330	HC1330	3
HC1331	HC1331	1
HC1332	HC1332	1
HC1333	HC1333	1
HC1334	HC1334	1
HC1335	HC1335	3
HC1336	HC1336	1
HC1337	HC1337	1
HC1338	HC1338	1
HC1339	HC1339	1
HC1340	HC1340	3
HC1341	HC1341	2
HC1342	HC1342	1
HC1343	HC1343	1
HC1344	HC1344	1
HC1345	HC1345	1
HC1346	HC1346	3
HC1347	HC1347	1
HC1348	HC1348	1
HC1349	HC1349	1
HC1350	HC1350	1
HC1351	HC1351	2
HC1352	HC1352	1
HC1353	HC1353	1
HC1354	HC1354	1
HC1355	HC1355	1
HC1356	HC1356	1
HC1357	HC1357	1
HC1358	HC1358	1
HC1359	HC1359	1
HC1360	HC1360	1
HC1361	HC1361	3
HC1362	HC1362	1
HC1363	HC1363	3
HC1364	HC1364	3
HC1365	HC1365	1
HC1366	HC1366	1
HC1367	HC1367	1
HC1368	HC1368	1
HC1369	HC1369	1
HC1370	HC1370	3
HC1371	HC1371	1
HC1372	HC1372	2
HC1373	HC1373	1
HC1374	HC1374	1
HC1375	HC1375	1
HC1376	HC1376	1
HC1377	HC1377	3
HC1378	HC1378	1
HC1379	HC1379	1
HC1380	HC1380	1
HC1381	HC1381	1
HC1382	HC1382	1
HC1383	HC1383	2
HC1384	HC1384	1
HC1385	HC1385	1
HC1386	HC1386	1
HC1387	HC1387	3
HC1388	HC1388	1
HC1389	HC1389	3
HC1390	HC1390	1
HC1391	HC1391	1
HC1392	HC1392	3
HC1393	HC1393	1
HC1394	HC1394	1
HC1395	HC1395	1
HC1396	HC1396	1
HC1397	HC1397	2
HC1398	HC1398	1
HC1399	HC1399	3
HC1400	HC1400	1
HC1401	HC1401	2
HC1402	HC1402	1
HC1403	HC1403	1
HC1404	HC1404	1
HC1405	HC1405	1
HC1406	HC1406	1
HC1407	HC1407	1
HC1408	HC1408	1
HC1409	HC1409	2
HC1410	HC1410	1
HC1412	HC1412	2
HC1413	HC1413	1
HC1414	HC1414	1
HC1415	HC1415	3
HC1416	HC1416	1
